"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","previous"
"94",32,"management","single","tertiary","no",3616,"no","no","cellular",14,"aug",165,2,0
"95",57,"blue-collar","married","secondary","no",14093,"no","no","cellular",11,"aug",231,5,0
"96",41,"unknown","single","tertiary","no",1567,"no","no","cellular",1,"jul",291,2,0
"97",41,"admin.","married","tertiary","no",5426,"yes","no","unknown",14,"may",149,2,0
"98",30,"admin.","single","tertiary","no",261,"no","no","cellular",19,"oct",233,1,20
"99",36,"blue-collar","divorced","secondary","no",2843,"no","no","cellular",12,"feb",473,1,1
"100",31,"unemployed","single","primary","yes",406,"no","no","cellular",4,"feb",736,1,0
"101",36,"blue-collar","married","secondary","no",0,"yes","no","unknown",6,"may",337,1,0
"102",38,"management","single","tertiary","no",493,"yes","no","cellular",11,"may",553,1,7
"103",49,"technician","married","secondary","no",5996,"no","no","telephone",21,"nov",345,2,0
"104",57,"services","single","primary","no",3777,"yes","no","telephone",13,"may",65,2,0
"105",34,"management","single","secondary","no",524,"no","no","unknown",13,"aug",9,1,0
"106",32,"management","single","tertiary","no",574,"yes","no","cellular",14,"apr",259,2,3
"107",37,"blue-collar","married","secondary","no",427,"yes","yes","unknown",9,"jun",371,3,0
"108",33,"self-employed","married","tertiary","no",483,"yes","no","cellular",3,"feb",280,2,0
"109",56,"unemployed","married","primary","yes",3391,"no","no","cellular",21,"apr",243,1,0
"110",27,"housemaid","married","primary","no",0,"yes","no","cellular",23,"jul",435,3,0
"111",21,"student","single","secondary","yes",2488,"no","no","cellular",30,"jun",258,6,3
"112",58,"management","married","tertiary","no",1517,"yes","no","telephone",29,"jul",7,5,0
"113",32,"self-employed","married","secondary","no",217,"yes","yes","cellular",15,"jul",317,5,0
"114",33,"blue-collar","single","secondary","no",22,"no","no","cellular",30,"jan",76,2,1
"115",25,"student","single","secondary","yes",331,"no","no","telephone",26,"aug",170,4,0
"116",25,"technician","single","secondary","yes",505,"no","yes","cellular",17,"nov",386,2,0
"117",30,"services","married","secondary","no",1808,"yes","no","cellular",18,"may",83,2,0
"118",22,"admin.","single","secondary","no",4111,"no","yes","cellular",19,"aug",65,1,0
"119",39,"blue-collar","married","primary","no",52,"no","no","cellular",13,"aug",69,1,0
"120",46,"management","divorced","tertiary","no",25,"no","no","unknown",17,"jun",564,2,0
"121",31,"admin.","divorced","secondary","no",1890,"yes","no","cellular",21,"jul",588,1,0
"122",45,"blue-collar","married","primary","no",419,"no","no","cellular",18,"aug",113,4,0
"123",32,"technician","married","secondary","no",2693,"yes","no","unknown",21,"may",16,1,0
"124",36,"blue-collar","married","secondary","no",-231,"no","yes","cellular",15,"jul",779,2,0
"125",51,"management","single","tertiary","no",-55,"yes","no","cellular",11,"may",281,2,6
"126",34,"self-employed","single","tertiary","yes",462,"no","no","cellular",21,"aug",1877,3,0
"127",24,"unemployed","single","secondary","no",119,"no","no","unknown",15,"sep",51,1,0
"128",45,"technician","single","secondary","no",586,"no","yes","cellular",28,"jul",32,3,0
"129",32,"blue-collar","single","secondary","no",228,"no","no","telephone",5,"feb",176,1,3
"130",77,"retired","divorced","tertiary","yes",4659,"no","no","cellular",14,"apr",161,1,0
"131",41,"blue-collar","married","primary","no",168,"yes","no","cellular",18,"nov",187,3,0
"132",37,"blue-collar","married","primary","no",0,"yes","no","unknown",26,"may",24,1,0
"133",43,"blue-collar","married","unknown","no",-715,"yes","no","unknown",30,"may",67,3,0
"134",48,"admin.","married","unknown","no",0,"yes","no","cellular",8,"may",85,1,2
"135",27,"technician","single","secondary","no",769,"yes","no","unknown",9,"may",317,2,0
"136",33,"management","single","tertiary","no",0,"no","no","cellular",28,"aug",236,10,0
"137",29,"admin.","single","secondary","no",428,"yes","yes","cellular",7,"may",54,1,2
"138",34,"management","single","tertiary","no",0,"no","no","cellular",5,"feb",71,1,0
"139",52,"management","married","tertiary","yes",-970,"yes","no","cellular",4,"feb",489,1,0
"140",60,"management","married","unknown","no",6313,"no","no","unknown",19,"jun",39,2,0
"141",32,"management","divorced","tertiary","no",948,"no","no","cellular",12,"aug",204,2,0
"142",32,"management","single","tertiary","no",0,"yes","no","cellular",22,"jul",455,2,0
"143",56,"services","divorced","unknown","no",1877,"yes","no","unknown",30,"may",86,1,0
"144",31,"management","single","tertiary","no",874,"yes","no","cellular",18,"nov",190,2,0
"145",42,"admin.","married","secondary","no",323,"yes","yes","unknown",8,"may",280,2,0
"146",35,"management","married","tertiary","no",106,"no","yes","cellular",11,"aug",588,2,0
"147",56,"retired","married","primary","no",1906,"no","yes","unknown",19,"jun",45,9,0
"148",48,"technician","married","secondary","no",1152,"yes","no","cellular",21,"jul",168,5,0
"149",46,"admin.","married","secondary","no",179,"yes","no","cellular",29,"jan",194,4,1
"150",37,"technician","single","unknown","no",391,"yes","no","unknown",8,"may",103,3,0
"151",41,"entrepreneur","married","unknown","no",89,"yes","no","unknown",6,"may",333,2,0
"152",36,"management","single","tertiary","no",442,"yes","yes","cellular",29,"jul",102,3,0
"153",45,"unemployed","divorced","primary","no",-249,"yes","yes","unknown",1,"jul",92,1,0
"154",55,"entrepreneur","married","secondary","no",8104,"no","no","cellular",6,"feb",213,2,0
"155",39,"technician","married","secondary","no",501,"no","no","unknown",26,"may",289,1,0
"156",35,"technician","divorced","secondary","no",308,"no","no","cellular",22,"aug",77,2,0
"157",55,"admin.","married","secondary","yes",602,"no","no","cellular",1,"jun",324,3,2
"158",55,"technician","married","secondary","no",273,"yes","no","cellular",29,"jan",84,3,3
"159",27,"self-employed","single","secondary","no",50,"no","no","cellular",29,"jan",168,1,0
"160",34,"technician","married","secondary","no",1641,"yes","no","cellular",17,"apr",380,1,0
"161",34,"blue-collar","married","tertiary","no",20,"no","no","unknown",4,"oct",10,1,0
"162",25,"admin.","single","secondary","no",4590,"yes","no","unknown",28,"may",199,2,0
"163",41,"admin.","single","secondary","no",-256,"no","yes","unknown",9,"may",35,3,0
"164",43,"services","married","secondary","no",978,"yes","yes","unknown",26,"may",82,2,0
"165",28,"management","single","tertiary","yes",80,"no","no","cellular",20,"oct",676,2,2
"166",31,"admin.","single","secondary","no",2104,"yes","no","unknown",3,"jun",455,1,0
"167",78,"housemaid","married","secondary","no",499,"no","no","telephone",16,"mar",80,4,0
"168",45,"blue-collar","divorced","secondary","no",1269,"yes","no","cellular",29,"jan",549,2,0
"169",48,"technician","married","tertiary","no",310,"no","no","unknown",6,"may",135,1,0
"170",32,"blue-collar","single","secondary","no",1143,"yes","yes","cellular",10,"jul",412,1,0
"171",42,"technician","married","secondary","no",2980,"no","no","unknown",20,"jun",101,3,0
"172",37,"management","single","tertiary","no",37,"no","no","cellular",28,"jan",253,2,0
"173",40,"admin.","single","secondary","no",462,"yes","yes","cellular",6,"apr",272,1,4
"174",32,"admin.","married","secondary","no",1031,"yes","no","cellular",17,"jul",84,1,0
"175",42,"management","married","tertiary","no",9009,"no","no","cellular",20,"nov",135,2,0
"176",43,"admin.","married","secondary","no",-465,"yes","yes","cellular",23,"jul",166,1,0
"177",44,"admin.","married","secondary","no",5181,"yes","yes","cellular",31,"jul",18,7,0
"178",37,"admin.","married","secondary","no",176,"yes","no","cellular",5,"may",147,2,1
"179",37,"unknown","married","unknown","no",1699,"no","no","unknown",9,"jun",63,1,0
"180",37,"admin.","married","tertiary","no",0,"yes","no","cellular",17,"nov",65,2,1
"181",28,"technician","single","tertiary","no",172,"yes","yes","cellular",2,"feb",194,2,0
"182",32,"services","single","secondary","no",0,"no","yes","cellular",11,"jul",333,2,0
"183",34,"admin.","single","secondary","no",6979,"yes","no","cellular",15,"may",14,5,0
"184",40,"admin.","divorced","secondary","no",6,"no","no","unknown",11,"jun",140,1,0
"185",34,"services","married","secondary","no",-62,"yes","no","unknown",16,"jun",109,3,0
"186",34,"self-employed","married","tertiary","no",1972,"yes","no","cellular",23,"jul",61,2,0
"187",34,"admin.","married","tertiary","no",899,"yes","no","telephone",19,"nov",377,3,4
"188",37,"services","single","secondary","no",21,"yes","no","cellular",2,"feb",96,1,2
"189",36,"technician","married","secondary","no",23,"yes","no","cellular",8,"may",152,2,1
"190",56,"retired","married","secondary","yes",-1206,"yes","no","cellular",15,"jun",382,2,0
"191",49,"blue-collar","married","primary","no",0,"yes","yes","telephone",23,"jul",97,6,0
"192",33,"self-employed","married","secondary","no",215,"yes","no","cellular",29,"jul",543,12,0
"193",30,"management","single","tertiary","no",1372,"no","no","cellular",20,"nov",240,2,0
"194",36,"services","married","secondary","no",1981,"no","no","unknown",17,"jun",48,2,0
"195",23,"student","single","secondary","no",9216,"no","no","cellular",5,"jun",471,2,0
"196",57,"retired","divorced","secondary","no",39,"yes","no","cellular",30,"jul",354,3,0
"197",27,"blue-collar","single","secondary","no",5563,"yes","no","unknown",30,"may",435,2,0
"198",38,"services","married","secondary","no",1,"no","yes","cellular",21,"nov",152,2,0
"199",42,"technician","married","tertiary","no",782,"no","no","cellular",3,"apr",285,1,0
"200",75,"retired","married","secondary","yes",3771,"no","no","telephone",15,"apr",185,1,2
"201",34,"technician","single","tertiary","no",992,"yes","no","cellular",4,"may",301,1,2
"202",48,"technician","married","secondary","no",1526,"no","no","cellular",6,"aug",273,2,0
"203",35,"technician","single","tertiary","yes",2658,"yes","no","cellular",19,"aug",768,2,3
"204",39,"management","divorced","tertiary","no",1315,"yes","no","cellular",19,"nov",1337,4,1
"205",29,"blue-collar","single","tertiary","yes",455,"no","no","telephone",21,"apr",403,1,0
"206",45,"technician","single","tertiary","no",0,"yes","no","cellular",18,"nov",139,2,0
"207",42,"technician","married","secondary","no",2030,"yes","yes","cellular",9,"jul",196,1,0
"208",29,"technician","married","secondary","no",1599,"yes","no","cellular",8,"jul",115,1,1
"209",38,"services","single","secondary","no",-196,"yes","no","cellular",2,"feb",60,1,1
"210",56,"retired","married","secondary","no",1333,"no","no","cellular",28,"aug",17,14,0
"211",36,"technician","single","secondary","no",9149,"yes","no","cellular",13,"aug",141,3,0
"212",25,"blue-collar","single","secondary","no",-350,"yes","no","unknown",23,"jun",95,3,0
"213",38,"technician","married","tertiary","no",432,"yes","no","cellular",15,"may",10,2,1
"214",57,"self-employed","married","secondary","no",11494,"no","no","cellular",19,"nov",198,1,0
"215",31,"management","married","tertiary","no",-253,"no","no","cellular",12,"aug",220,4,0
"216",42,"management","married","tertiary","yes",372,"yes","no","cellular",3,"aug",654,2,0
"217",45,"technician","married","secondary","no",1410,"no","no","cellular",11,"aug",71,2,0
"218",30,"blue-collar","married","secondary","no",975,"yes","no","cellular",13,"may",256,2,2
"219",49,"blue-collar","married","primary","no",305,"yes","yes","telephone",10,"jul",834,10,0
"220",49,"services","married","secondary","no",400,"no","no","cellular",21,"aug",151,3,0
"221",53,"retired","married","tertiary","no",-22,"yes","no","cellular",31,"jul",20,3,0
"222",37,"technician","married","secondary","no",4030,"yes","no","unknown",26,"may",178,5,0
"223",49,"blue-collar","married","primary","no",365,"no","no","unknown",26,"may",59,2,0
"224",41,"self-employed","married","primary","no",204,"no","no","cellular",13,"aug",111,7,0
"225",54,"management","married","primary","no",1691,"yes","no","cellular",20,"nov",186,1,0
"226",32,"services","single","secondary","no",406,"yes","no","unknown",6,"may",227,1,0
"227",33,"technician","married","secondary","no",-204,"no","no","cellular",15,"may",297,3,0
"228",33,"technician","married","secondary","no",359,"yes","no","cellular",20,"apr",210,1,1
"229",36,"blue-collar","married","primary","no",123,"yes","no","cellular",18,"may",9,1,0
"230",35,"technician","married","tertiary","no",0,"yes","yes","cellular",23,"sep",112,1,6
"231",52,"unknown","married","secondary","no",142,"no","no","cellular",25,"aug",112,6,0
"232",40,"entrepreneur","married","tertiary","no",3571,"no","no","unknown",9,"jun",222,3,0
"233",44,"technician","single","secondary","no",33,"yes","no","cellular",13,"may",195,3,10
"234",45,"blue-collar","single","secondary","no",0,"yes","no","cellular",26,"jul",768,2,5
"235",30,"student","single","secondary","no",3096,"no","no","cellular",26,"jan",123,1,0
"236",48,"technician","divorced","secondary","no",20,"no","no","cellular",27,"aug",145,3,0
"237",33,"blue-collar","married","secondary","no",3576,"yes","no","cellular",2,"apr",124,1,2
"238",57,"technician","married","unknown","no",206,"yes","no","unknown",5,"may",216,3,0
"239",57,"housemaid","married","primary","no",7082,"no","no","unknown",6,"jun",69,3,0
"240",51,"unemployed","married","tertiary","no",1634,"yes","no","cellular",22,"jul",168,4,0
"241",34,"admin.","single","secondary","no",1,"yes","no","cellular",22,"jul",483,7,0
"242",50,"self-employed","married","tertiary","no",4012,"no","no","cellular",19,"nov",690,3,0
"243",44,"management","married","tertiary","no",3762,"no","no","cellular",28,"aug",125,12,0
"244",27,"admin.","married","secondary","no",-247,"yes","yes","unknown",4,"jun",344,2,0
"245",50,"blue-collar","married","secondary","no",606,"yes","no","unknown",14,"may",673,2,0
"246",36,"management","married","tertiary","no",0,"yes","no","cellular",28,"jan",60,1,1
"247",42,"management","married","secondary","no",-189,"yes","no","unknown",12,"may",247,2,0
"248",32,"unemployed","single","secondary","no",0,"no","no","cellular",27,"may",123,2,0
"249",42,"management","married","tertiary","no",484,"yes","no","cellular",11,"jul",144,2,0
"250",43,"technician","married","secondary","no",0,"no","yes","cellular",8,"may",9,2,5
"251",31,"management","married","tertiary","no",395,"yes","no","cellular",9,"feb",155,3,0
"252",32,"management","married","tertiary","no",2349,"no","no","cellular",14,"aug",134,5,0
"253",55,"blue-collar","divorced","primary","no",410,"no","yes","cellular",11,"jul",221,2,0
"254",58,"retired","married","primary","no",3401,"yes","no","cellular",3,"feb",84,3,2
"255",46,"blue-collar","married","primary","no",222,"no","no","cellular",8,"aug",71,2,0
"256",55,"blue-collar","married","secondary","no",989,"yes","yes","unknown",23,"may",246,4,0
"257",34,"management","married","tertiary","no",415,"no","yes","cellular",23,"jul",361,2,0
"258",28,"unemployed","single","secondary","no",16,"no","no","cellular",12,"aug",119,4,0
"259",42,"technician","divorced","tertiary","no",7190,"yes","no","cellular",29,"jul",375,2,0
"260",29,"blue-collar","single","secondary","yes",482,"no","yes","cellular",10,"jul",1097,3,0
"261",54,"housemaid","married","secondary","no",209,"yes","yes","cellular",25,"jul",97,1,0
"262",32,"technician","single","secondary","no",0,"no","no","cellular",26,"aug",181,2,0
"263",39,"technician","single","tertiary","no",5803,"no","no","cellular",2,"feb",83,3,0
"264",53,"entrepreneur","married","tertiary","no",624,"no","yes","cellular",21,"jul",180,4,0
"265",58,"technician","married","tertiary","no",883,"no","no","cellular",18,"aug",543,1,2
"266",40,"self-employed","married","secondary","no",1516,"yes","yes","unknown",23,"may",373,1,0
"267",29,"student","single","secondary","no",872,"yes","no","unknown",7,"may",230,1,0
"268",33,"technician","married","tertiary","no",-988,"yes","yes","cellular",15,"jul",83,3,0
"269",38,"admin.","single","secondary","no",902,"yes","no","telephone",31,"jul",58,13,0
"270",56,"services","divorced","secondary","no",1007,"no","no","cellular",29,"jul",88,6,0
"271",40,"services","married","secondary","no",0,"yes","no","cellular",2,"jun",297,1,3
"272",24,"blue-collar","single","secondary","yes",174,"yes","yes","cellular",18,"may",487,1,0
"273",46,"management","married","secondary","no",12186,"no","no","unknown",20,"jun",29,3,0
"274",35,"self-employed","married","secondary","no",524,"yes","no","cellular",21,"nov",484,4,0
"275",35,"blue-collar","single","tertiary","no",0,"yes","no","cellular",21,"jul",262,4,0
"276",34,"technician","married","secondary","no",4,"yes","no","unknown",15,"may",644,1,0
"277",35,"housemaid","married","tertiary","no",11219,"no","no","cellular",12,"aug",699,2,1
"278",38,"technician","single","tertiary","no",0,"no","no","cellular",28,"aug",247,2,0
"279",50,"blue-collar","married","primary","no",5776,"no","no","cellular",18,"nov",49,3,0
"280",51,"blue-collar","divorced","primary","no",37,"yes","no","cellular",13,"may",341,1,0
"281",59,"self-employed","married","tertiary","no",593,"no","no","unknown",13,"may",64,2,0
"282",32,"blue-collar","married","secondary","no",1148,"yes","no","cellular",20,"apr",121,1,0
"283",37,"blue-collar","single","secondary","no",3561,"yes","no","unknown",2,"jun",98,1,0
"284",42,"admin.","divorced","secondary","no",63,"no","no","unknown",16,"may",88,6,0
"285",40,"student","married","secondary","no",260,"no","no","unknown",20,"jun",197,6,0
"286",28,"technician","single","tertiary","no",2269,"yes","no","unknown",9,"may",331,1,0
"287",47,"admin.","married","secondary","no",1060,"yes","no","unknown",6,"jun",83,3,0
"288",27,"self-employed","married","secondary","no",-220,"yes","no","unknown",26,"may",138,2,0
"289",41,"management","married","tertiary","no",49,"yes","no","cellular",17,"jul",312,5,0
"290",34,"admin.","married","tertiary","yes",69,"no","yes","cellular",4,"aug",120,3,6
"291",50,"blue-collar","married","primary","yes",4108,"yes","no","cellular",7,"aug",526,2,0
"292",47,"blue-collar","married","secondary","no",480,"yes","no","unknown",28,"may",211,2,0
"293",53,"services","married","secondary","no",4994,"no","no","cellular",18,"aug",62,6,0
"294",53,"technician","divorced","secondary","no",0,"yes","yes","cellular",15,"jul",135,5,0
"295",47,"management","married","tertiary","no",3681,"no","no","cellular",14,"aug",101,2,0
"296",49,"entrepreneur","divorced","unknown","yes",-701,"yes","no","cellular",30,"jul",988,2,0
"297",29,"management","married","tertiary","no",451,"no","no","cellular",28,"jan",451,1,0
"298",45,"blue-collar","divorced","primary","yes",-311,"yes","no","unknown",23,"may",1030,1,0
"299",38,"entrepreneur","married","secondary","yes",593,"yes","yes","cellular",24,"jul",1484,24,0
"300",32,"blue-collar","married","secondary","yes",759,"yes","no","cellular",9,"apr",317,5,0
"301",70,"retired","divorced","primary","no",4531,"no","no","cellular",18,"may",445,1,0
"302",65,"retired","divorced","primary","no",1840,"no","no","cellular",1,"jun",383,2,5
"303",56,"blue-collar","married","secondary","no",345,"yes","no","telephone",22,"jul",605,1,0
"304",35,"blue-collar","married","secondary","no",1287,"yes","no","cellular",14,"jul",330,2,0
"305",56,"management","married","unknown","no",353,"no","yes","cellular",25,"jul",171,2,0
"306",56,"technician","married","secondary","no",205,"no","yes","cellular",23,"jul",442,2,0
"307",49,"entrepreneur","married","secondary","yes",687,"yes","no","cellular",17,"apr",772,1,0
"308",38,"unemployed","married","primary","no",1147,"yes","yes","unknown",8,"may",249,5,0
"309",35,"management","married","tertiary","no",4286,"yes","no","unknown",9,"may",357,1,0
"310",38,"admin.","married","tertiary","no",605,"no","no","cellular",18,"nov",147,2,0
"311",49,"blue-collar","married","secondary","no",8545,"yes","yes","cellular",6,"may",199,7,1
"312",55,"management","married","unknown","no",559,"no","no","cellular",28,"jan",271,2,0
"313",43,"blue-collar","single","primary","no",2,"yes","no","cellular",30,"jul",783,3,0
"314",43,"management","married","tertiary","no",2,"no","yes","cellular",20,"aug",472,2,0
"315",25,"admin.","single","tertiary","yes",760,"yes","no","cellular",27,"may",223,3,2
"316",30,"blue-collar","married","primary","no",1317,"yes","no","unknown",21,"may",395,2,0
"317",46,"blue-collar","married","secondary","no",182,"no","no","cellular",4,"feb",56,1,0
"318",50,"admin.","married","primary","no",276,"no","yes","unknown",17,"jun",641,6,0
"319",35,"entrepreneur","married","secondary","yes",2971,"no","no","cellular",4,"may",429,4,2
"320",26,"unemployed","single","secondary","no",1064,"no","no","unknown",31,"may",113,1,0
"321",45,"admin.","married","unknown","no",1783,"no","no","unknown",20,"jun",11,11,0
"322",37,"blue-collar","married","secondary","no",-67,"no","no","cellular",2,"feb",157,1,0
"323",60,"self-employed","single","tertiary","no",179,"no","yes","cellular",29,"jul",79,4,0
"324",38,"management","married","tertiary","yes",1199,"no","no","cellular",4,"aug",178,1,1
"325",47,"blue-collar","married","primary","no",214,"yes","yes","unknown",9,"jun",168,1,0
"326",33,"technician","married","secondary","no",6699,"no","no","cellular",9,"nov",425,1,1
"327",51,"unemployed","married","secondary","no",1760,"no","yes","cellular",19,"nov",162,1,0
"328",35,"entrepreneur","single","tertiary","yes",145,"yes","no","cellular",18,"jul",799,2,0
"329",35,"unemployed","married","secondary","yes",978,"no","no","cellular",29,"dec",1370,3,3
